Month	Whole	Active
200710	3	3
200711	0	0
200712	0	0
200801	78	73
200802	1679	1448
200803	2261	1793
200804	4570	3373
200805	3019	2064
200806	3308	2122
200807	3369	2044
200808	3358	2091
200809	4134	2335
200810	4850	2699
200811	5057	2639
200812	5780	3240
200901	6775	3897
200902	7741	4245
200903	9582	4879
200904	10014	4795
200905	10179	4653
200906	9481	4582
200907	9723	4757
200908	10352	5004
200909	11114	5354
200910	12871	6132
200911	12044	5806
200912	12431	5838
201001	17569	7922
201002	18170	8240
201003	20672	8706
201004	21149	8678
201005	27302	9474
201006	25311	9657
201007	28170	10478
201008	30465	11420
201009	38117	12982
201010	37157	13882
201011	39431	14240
201012	36772	12915
201101	48107	16678
201102	47196	16941
201103	55885	20002
201104	55506	19601
201105	57488	19828
201106	62444	22262
201107	59976	20620
201108	64364	21591
201109	72046	24499
201110	66165	23257
201111	64244	23823
201112	59582	21448
201201	94404	28149
201202	80241	29442
201203	100643	32541
201204	88761	29574
201205	98746	32706
201206	94302	31616
201207	148888	37187
201208	158899	35443
201209	173423	37288
201210	226372	41410
201211	234438	40820
201212	221282	39326
201301	275768	57896
201302	282566	50568
201303	282675	57817
201304	278399	53836
201305	270258	51308
201306	307778	48953
201307	230110	50881
201308	216507	50601
201309	219538	55929
201310	239598	60630
201311	241763	56606
201312	213973	48405
201401	255851	63264
201402	255464	62648
201403	292666	72190
201404	326105	73383
201405	295996	70279
201406	267350	68067
201407	286930	74520
201408	277554	82553
201409	362699	124683
201410	504109	504109
201411	517200	517200
201412	308523	308523
